,DLSs01,DLSs02,DLSs03,DLSt01,DLSt02,DLSt03,DPSs202001,DPSs202002,DPSs202003,DPSt01,DPSt02,DPSt03,HLs202001,HLs202002,HLs202003,HLt01,HLt02,HLt03,SLTs202001,SLTs202002,SLTs202003,SLTt01,SLTt02,SLTt03,SLs01,SLs02,SLs03,SLt01,SLt02,SLt03,XSs202001,XSs202002,XSt01,XSt02,XSt03,XsSs202003
Zotu304,0,0,32,0,0,0,2,0,0,0,0,0,0,15,13,0,0,0,0,7,1,0,0,0,2,100,58,0,0,0,4,0,0,0,0,3
Zotu3041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3042,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Zotu3043,1,0,2,12,6,5,9,1,1,2,1,4,3,0,0,6,7,6,3,4,5,3,2,6,0,1,1,3,0,1,3,5,1,0,6,4
Zotu3044,2,0,1,5,0,3,9,4,2,0,0,0,2,0,0,11,3,15,2,0,0,2,0,4,9,1,1,0,0,0,2,1,3,0,13,1
Zotu3045,12,1,9,4,3,2,0,0,0,4,0,0,2,2,0,0,1,0,0,4,1,0,2,0,13,2,2,25,8,2,1,0,0,0,1,1
Zotu3046,3,1,7,4,7,5,0,3,5,0,0,1,4,6,3,1,8,14,2,3,0,0,2,1,2,1,3,1,0,16,0,2,3,0,15,1
Zotu3047,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0
Zotu3048,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0
Zotu3049,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,19,0,0,0,0,5,0,0,1,0,9,17,0,0,0,11
Zotu305,0,0,0,0,0,0,1,2,45,0,0,0,0,110,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,80
Zotu3050,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0
Zotu3051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu3052,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,16
Zotu3053,0,0,0,0,0,0,1,5,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,5
Zotu3054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu3055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3056,0,2,1,0,0,0,6,0,5,0,0,1,10,7,2,0,0,0,9,58,6,0,0,0,0,0,0,0,0,2,9,18,0,0,0,20
Zotu3057,0,0,0,0,0,0,7,15,26,3,1,2,2,6,0,0,0,0,8,2,2,0,0,0,0,1,1,0,1,0,16,7,0,0,0,6
Zotu3058,0,0,0,0,0,0,3,30,36,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2
Zotu3059,0,0,0,0,0,0,4,0,0,0,0,0,0,6,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
