,DLSse01,DLSse02,DLSse03,DLSw202001,DLSw202002,DLSw202003,DPSse01,DPSse02,DPSse03,DPSw202001,DPSw202002,DPSw202003,HLse01,HLse02,HLse03,HLw202001,HLw202002,HLw202003,SLTse01,SLTse02,SLTse03,SLTw202001,SLTw202002,SLTw202003,SLse01,SLse02,SLse03,SLw202001,SLw202002,SLw202003,XSse01,XSse02,XSse03,XSw202001,XSw202002,XSw202003
Zotu9195,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Zotu9196,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,8,3,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,2,2,1
Zotu9197,0,0,0,1,0,0,5,2,1,1,0,0,2,0,0,0,1,2,0,0,0,2,1,0,0,0,3,1,1,0,0,1,0,0,0,0
Zotu9198,0,0,0,7,5,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,2,0,0,0,0,4,0,1
Zotu9199,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Zotu92,27,63,33,479,53,89,4,10,23,7,12,37,2,1,0,154,284,444,2,1,1,184,208,11,334,850,796,1834,2585,3148,17,44,36,4,12,42
Zotu920,17,12,19,0,0,0,0,14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14,214,39,0,0,0,0,50,0,0,0,0
Zotu9200,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
Zotu9201,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,4
Zotu9202,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Zotu9203,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Zotu9204,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu9205,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1
Zotu9206,0,0,0,0,0,0,0,0,0,5,8,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu9207,0,0,1,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,2,3,0,0,0,1,0,0,1,5,0,3,5,1
Zotu9208,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Zotu9209,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu921,0,0,0,0,3,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,1,10
Zotu9210,0,0,0,1,3,6,0,0,0,0,1,0,2,0,0,1,3,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0
Zotu9211,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu9212,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Zotu9213,0,0,0,0,1,0,0,0,0,4,10,3,0,0,0,0,0,1,0,0,0,2,5,3,0,0,0,0,1,4,0,0,0,0,0,2
Zotu9214,0,0,0,6,2,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,4,3,3,1
Zotu9215,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Zotu9216,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu9217,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
Zotu9218,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu9219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Zotu922,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu9220,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,2,10
Zotu9221,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu9222,0,0,0,0,0,1,0,0,0,5,4,2,0,0,0,0,0,2,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1
Zotu9223,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu9224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Zotu9225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu9226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
Zotu9227,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
