,DLSm01,DLSm02,DLSm03,DLSs01,DLSs02,DLSs03,DPSm01,DPSm02,DPSm03,DPSs202001,DPSs202002,DPSs202003,HLm01,HLm02,HLm03,HLs202001,HLs202002,HLs202003,SLTm01,SLTm02,SLTm03,SLTs202001,SLTs202002,SLTs202003,SLm01,SLm02,SLm03,SLs01,SLs02,SLs03,XSm01,XSm02,XSm03,XSs202001,XSs202002,XsSs202003
Zotu4365,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Zotu4366,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0
Zotu4367,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,15,1
Zotu4369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu437,0,0,0,28,822,60,4,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,0,0,0,0,36,90,20,0,0,0,0,0,0
Zotu4370,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Zotu4371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0
Zotu4372,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4373,0,1,3,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,37,2,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Zotu4374,0,0,2,2,3,5,1,0,4,0,1,0,1,0,0,4,0,1,0,3,0,1,0,1,0,2,0,5,2,6,1,0,5,0,2,0
Zotu4375,0,0,0,14,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,11,0,0,0,0,0,0
Zotu4376,0,0,0,8,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,11,7,5,0,0,0,0,0,0
Zotu4377,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,0,0,0,0,0,0
Zotu4378,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Zotu4379,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Zotu438,0,1,0,69,69,92,14,0,43,0,0,1,0,0,0,3,7,3,25,5,1,0,0,2,0,0,2,213,89,1141,0,0,0,0,2,1
Zotu4380,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,26,0,0,0,0,0,0
Zotu4381,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu4383,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Zotu4384,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,16,4,7,1,0,0,1,8,6,0,0,0,0,1,0,2,0,1,4,3,8
Zotu4385,0,3,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,0,2,1,2,0,0,0
Zotu4386,0,1,0,0,0,0,0,0,1,1,4,0,2,0,0,7,2,0,0,3,1,0,8,11,0,0,0,1,0,1,1,0,0,27,20,12
Zotu4387,0,0,0,0,0,0,0,0,0,8,11,12,0,0,0,14,0,9,0,0,0,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu4388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4389,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2
Zotu439,0,0,0,0,0,0,0,0,0,19,109,37,0,0,0,66,140,224,0,0,0,116,24,6,0,0,0,0,0,0,0,0,0,0,110,0
Zotu4390,0,0,0,0,0,0,0,0,0,5,3,3,0,1,0,31,9,4,0,0,0,27,46,10,1,0,0,2,0,0,0,0,9,10,13,10
Zotu4391,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,14,38,9
Zotu4393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu4394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0
Zotu4395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu4396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Zotu4398,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,1,0,0,0
Zotu4399,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,65,3,0,0,0
Zotu44,0,1,0,14,0,11,0,1,1,516,930,655,0,0,0,718,11,616,62,13,8,3545,556,271,0,0,0,0,0,0,0,0,0,5,9,8
Zotu440,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0
Zotu4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
Zotu4402,4,0,2,12,0,1,1,6,0,0,0,0,3,0,0,1,0,1,2,3,9,1,1,16,3,0,1,2,0,1,1,1,4,0,2,3
Zotu4403,7,3,51,0,0,0,3,0,30,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,10,7,2,0,0,2,0,0,0,0,0,0
Zotu4404,2,0,2,0,0,0,0,0,1,0,0,0,17,6,2,0,0,0,10,0,1,0,0,0,2,2,2,0,0,0,28,7,9,3,1,1
Zotu4405,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4406,0,0,0,16,0,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,5,13,0,0,1,0,0,0
Zotu4407,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu4408,0,0,0,2,4,39,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,21,2,0,0,0,1,2,3,0,0,0,1,1,7
Zotu4409,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu441,0,0,3,0,0,1,0,0,0,455,728,380,0,0,0,0,13,0,0,0,0,187,1,0,0,3,2,0,0,0,0,0,0,39,120,46
Zotu4410,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,3,0,8,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1
Zotu4411,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Zotu4412,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,3,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4413,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Zotu4414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0
Zotu4415,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,1,1,2
Zotu4416,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4417,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3
Zotu4418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Zotu4419,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,2,27,3,0,0,0,0,0,0,0,0,0,4,2,5
Zotu442,50,43,29,10,62,81,18,59,29,7,11,3,111,39,50,22,19,34,114,23,13,16,21,6,177,57,93,74,5,21,675,88,105,16,14,14
Zotu4420,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,8,15,1,1,0,0,0,0,1,0,1,3,5,8
Zotu4421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,37,0,0,0,1,0,0,0,0,0,1,2,10
Zotu4422,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu4423,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu4424,0,0,0,0,0,0,0,70,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
Zotu4425,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu4426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Zotu4427,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,7,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0
Zotu4428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
Zotu4429,48,5,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0
Zotu443,0,0,0,0,0,0,0,0,0,3,1,24,0,0,0,2,49,9,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,37
