,DLSm01,DLSm02,DLSm03,DLSw202001,DLSw202002,DLSw202003,DPSm01,DPSm02,DPSm03,DPSw202001,DPSw202002,DPSw202003,HLm01,HLm02,HLm03,HLw202001,HLw202002,HLw202003,SLTm01,SLTm02,SLTm03,SLTw202001,SLTw202002,SLTw202003,SLm01,SLm02,SLm03,SLw202001,SLw202002,SLw202003,XSm01,XSm02,XSm03,XSw202001,XSw202002,XSw202003
Zotu1,2,10,3,31053,28238,36454,0,1,1,2296,3138,14,0,1,0,25,7085,11608,442,203,192,32,20,3753,4,5,2,2535,2552,2335,0,0,0,1880,3005,12
Zotu10,4,0,0,2218,1074,338,0,0,0,1012,406,28,1,0,0,4980,28344,15251,0,2,0,347,77,2,0,0,0,3906,4672,3532,0,0,0,1868,977,312
Zotu100,260,187,1,11,0,0,2,6,0,0,0,0,487,247,1,21,0,0,0,36,8,0,0,9,4,2,55,0,0,0,5,8,79,4,5,6
Zotu10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zotu10009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0
Zotu1001,34,6,13,1,0,0,0,7,0,0,0,0,366,21,50,0,0,0,0,2,2,0,0,5,13,41,62,0,0,0,29,19,36,4,2,1
Zotu10010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
Zotu10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17,0,4,0,0,0
Zotu10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1002,6,1,13,3,0,0,0,0,0,0,0,0,6,2,9,5,0,0,0,0,0,0,0,3,9,0,0,0,0,0,8,0,0,1,3,2
Zotu10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10025,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0
Zotu10028,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,0,0,0,0,0,0
Zotu10029,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1003,0,0,0,0,0,0,9,4,4,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7
Zotu10034,29,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
Zotu10035,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
Zotu10036,20,1,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Zotu10037,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Zotu10038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Zotu10039,2,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,2,6,0,0,0,1,0,0,1,1,0
Zotu1004,0,0,0,20,12,23,0,0,0,1,3,0,0,0,0,0,3,2,3,2,0,0,0,4,0,0,0,4,2,2,0,0,0,1,0,0
Zotu10040,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu10041,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu10042,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10043,2,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Zotu10044,7,21,5,0,0,0,2,0,3,0,0,0,4,2,0,0,0,0,1,12,12,0,0,0,8,2,9,0,0,0,8,9,2,0,0,0
Zotu10045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4
Zotu10046,8,3,1,0,0,0,19,0,0,0,0,0,52,0,0,0,0,0,0,0,1,0,0,0,31,2,2,0,0,0,6,4,3,0,0,0
Zotu10047,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Zotu10048,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu10049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu1005,0,0,0,4,0,0,0,2,1,0,1,3,0,0,0,0,0,4,0,0,0,4,0,1,0,0,0,7,2,5,0,0,0,0,0,1
Zotu10050,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0
Zotu10051,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10052,1,2,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,4,2,5,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
Zotu10053,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,10,7,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0
Zotu10054,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,1,1,0,0,0,0,4,5,0,0,0
Zotu10055,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0
Zotu10056,0,1,0,1,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0
Zotu10057,1,2,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,7,0,0,0
Zotu10058,4,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,6,8,0,0,0,0,1,1,0,0,0
Zotu10059,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,3,0,0,0
Zotu1006,0,0,0,30,1,2,0,2,0,34,48,22,0,0,0,24,1,0,0,5,1,119,41,107,0,0,0,8,12,6,0,0,0,1,4,3
Zotu10060,7,8,7,0,0,0,2,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,66,68,0,0,0,1,8,3,0,0,0
Zotu10061,0,1,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
Zotu10062,0,0,4,0,0,0,0,0,0,0,0,0,8,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
Zotu10063,0,0,4,0,0,0,0,0,0,0,0,0,4,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zotu10064,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,9,0,0,0,0,0
Zotu10065,0,1,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Zotu10066,0,0,3,0,5,4,1,1,15,0,0,5,0,0,0,7,2,0,0,0,0,0,1,0,1,0,1,2,4,2,1,0,1,0,0,2
Zotu10067,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Zotu10069,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
Zotu1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10070,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu10073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Zotu10075,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,2,0,0,0,0,0
Zotu10076,1,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2
