,DLSs01,DLSs02,DLSs03,DLSw202001,DLSw202002,DLSw202003,DPSs202001,DPSs202002,DPSs202003,DPSw202001,DPSw202002,DPSw202003,HLs202001,HLs202002,HLs202003,HLw202001,HLw202002,HLw202003,SLTs202001,SLTs202002,SLTs202003,SLTw202001,SLTw202002,SLTw202003,SLs01,SLs02,SLs03,SLw202001,SLw202002,SLw202003,XSs202001,XSs202002,XSw202001,XSw202002,XSw202003,XsSs202003
Zotu9228,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu9229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu923,0,0,0,2,95,123,215,580,392,1,1,0,2,20,0,54,0,0,150,0,0,48,33,0,0,10,0,1,44,16,4,129,0,0,0,80
Zotu9230,0,2,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,4,4,0,0,0,2,5,0,0,0,2
Zotu9231,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu9233,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0
Zotu9234,0,0,1,0,2,5,29,1,6,0,1,4,3,0,0,2,0,1,2,1,13,0,0,0,1,0,0,3,0,0,18,4,0,0,0,0
Zotu9235,0,0,0,0,3,1,1,6,8,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
Zotu9236,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,0,12,4,8,2,1,0,0,0,1
Zotu9237,0,4,0,0,3,0,19,7,1,1,0,3,20,0,0,0,0,0,0,22,8,4,1,0,0,0,1,17,2,0,92,65,0,1,6,33
Zotu9238,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,1,2,0,15,3,0,0,1,4
Zotu9239,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,5
Zotu924,11,477,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,17,19,0,0,0,0,0,0,0,0,0
Zotu9240,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,2,0,0,0,4,0,0,0,0,0,9,1,0,0,0,1
Zotu9241,0,0,0,3,0,0,0,0,3,0,0,0,3,0,1,1,0,0,1,1,3,0,0,1,0,0,0,0,1,1,0,3,0,0,0,1
Zotu9242,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,1
Zotu9243,0,0,0,1,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,1,0,3,0,0,0,0,0,0,4,0,0,1,2,2,2
Zotu9244,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,4
Zotu9245,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,20,0,0,0,0,0,0
Zotu9246,0,0,0,0,0,0,0,0,3,0,0,0,0,11,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,1,4,5
Zotu9247,1,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,1,2,1,0,0,4,0,1,0,0,0,7
Zotu9248,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,4,3,0,0,0,0,0,0
Zotu9249,0,0,1,1,0,0,0,0,2,0,1,0,1,5,1,0,0,0,0,3,3,0,1,0,0,3,9,0,0,1,1,1,1,2,0,4
Zotu925,16,0,2,0,3,0,3,55,4,1,0,0,87,26,11,33,0,0,9,73,31,43,2,3,22,6,1,0,29,8,46,292,3,4,4,76
Zotu9250,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0
Zotu9251,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,8,0,1,0,0,1,0,0,1,1,0,2
Zotu9253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
