,DLSm01,DLSm02,DLSm03,DLSse01,DLSse02,DLSse03,DPSm01,DPSm02,DPSm03,DPSse01,DPSse02,DPSse03,HLm01,HLm02,HLm03,HLse01,HLse02,HLse03,SLTm01,SLTm02,SLTm03,SLTse01,SLTse02,SLTse03,SLm01,SLm02,SLm03,SLse01,SLse02,SLse03,XSm01,XSm02,XSm03,XSse02,XSse03,XSt01
Zotu10037,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Zotu10038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Zotu10039,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,0,0,0,0,0
Zotu1004,0,0,0,163,19,42,0,0,0,0,0,0,0,0,0,5,7,2,3,2,0,2,0,1,0,0,0,2,2,3,0,0,0,0,0,0
Zotu10040,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu10041,1,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10042,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2
Zotu10043,2,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Zotu10044,7,21,5,0,0,0,2,0,3,0,0,0,4,2,0,0,0,0,1,12,12,0,2,0,8,2,9,0,0,0,8,9,2,1,0,0
Zotu10045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10046,8,3,1,0,0,0,19,0,0,0,0,0,52,0,0,0,0,0,0,0,1,0,0,0,31,2,2,0,0,0,6,4,3,0,0,1
Zotu10047,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Zotu10048,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Zotu1005,0,0,0,0,0,0,0,2,1,24,243,183,0,0,0,0,0,0,0,0,0,10,4,18,0,0,0,0,1,3,0,0,0,1,3,0
Zotu10050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Zotu10051,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10052,1,2,0,0,0,1,0,1,0,0,0,0,1,2,0,3,0,0,4,2,5,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1
Zotu10053,2,0,0,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,10,7,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1
Zotu10054,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,1,1,0,0,0,0,4,5,0,0,0
Zotu10055,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0
Zotu10056,0,1,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0
Zotu10057,1,2,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,7,0,0,0
Zotu10058,4,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,6,8,0,0,0,0,1,1,0,0,0
Zotu10059,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,3,0,0,0
Zotu1006,0,0,0,0,11,0,0,2,0,2,3,4,0,0,0,14,58,10,0,5,1,6,4,10,0,0,0,0,2,2,0,0,0,47,16,0
Zotu10060,7,8,7,0,0,0,2,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,66,68,0,0,0,1,8,3,0,0,0
Zotu10061,0,1,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
Zotu10062,0,0,4,0,0,0,0,0,0,0,0,0,8,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
Zotu10063,0,0,4,0,0,0,0,0,0,0,0,0,4,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zotu10064,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,9,0,0,0,0,1
Zotu10065,0,1,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
Zotu10066,0,0,3,0,0,0,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,1,0,1,0,0,0
Zotu10067,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Zotu10069,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
Zotu1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Zotu10070,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10075,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,1,0,0,0,2,0,0,0,0,1
Zotu10076,1,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2
Zotu10077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10079,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Zotu1008,0,0,0,0,0,0,0,0,2,37,103,213,0,0,0,1,1,137,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,1,3,0
Zotu10081,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10082,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0
Zotu10083,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
Zotu10084,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10086,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,0,2,0,0,1
Zotu10088,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1
Zotu10089,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu1009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Zotu10090,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu10091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10092,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Zotu10094,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
