,DLSt01,DLSt02,DLSt03,DLSw01,DLSw02,DLSw03,DPSt01,DPSt02,DPSt03,DPSw01,DPSw02,DPSw03,HLt01,HLt02,HLt03,HLw01,HLw02,HLw03,SLTt01,SLTt02,SLTt03,SLTw01,SLTw02,SLTw03,SLt01,SLt02,SLt03,SLw01,SLw02,SLw03,XSt01,XSt02,XSt03,XSw01,XSw02,XSw03
Zotu10107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10108,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,9,0,0,0,0
Zotu10109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1011,7,6,21,0,0,0,16,24,16,0,0,0,1,0,12,0,0,0,19,18,221,0,0,0,60,13,3,1,1,0,5,3,0,0,0,0
Zotu10111,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Zotu10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zotu10114,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Zotu10115,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0
Zotu10116,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Zotu10117,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10118,6,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0
Zotu10119,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1012,0,0,0,3,6,46,0,1,0,82,2,5,1,2,0,59,22,12,0,2,0,15,69,4,0,1,1,70,33,34,0,2,0,11,4,4
Zotu10120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
