,DLSt01,DLSt02,DLSt03,DPSt01,DPSt02,DPSt03,HLt01,HLt02,HLt03,SLTt01,SLTt02,SLTt03,SLt01,SLt02,SLt03,XSt01,XSt02,XSt03
otu1,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1,0,383,0
otu100,254,3321,281,2,2,46,4124,191,285,160,146,1,276,71,104,346,294,1146
otu10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
otu10008,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
otu1001,27,14,60,3,4,7,38,0,8,25,1,5,4,4,11,1,1,7
otu10010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,0,9
otu10011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10016,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0
otu1002,259,11,28,24,8,10,23,54,11,24,24,220,22,3,12,18,5,14
otu10024,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
otu10025,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10026,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
otu10027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
otu10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
otu10033,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30
otu10034,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
otu10035,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10036,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
otu10038,1,2,0,0,0,2,0,0,0,0,0,0,1,0,13,0,0,0
otu10039,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3
otu1004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
otu10040,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
otu10041,5,0,0,0,0,0,46,1,1,5,0,0,0,0,1,0,13,1
otu10042,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,2,1,3
otu10043,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10044,1,2,2,1,0,0,1,1,0,1,0,0,0,1,2,0,0,1
otu10046,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
otu10047,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
otu10049,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,3,2,5
otu10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu10051,17,1,0,0,0,0,2,0,0,1,0,0,3,0,1,0,0,0
otu10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10053,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0
otu10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10056,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
otu10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
otu10059,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1
otu10060,0,0,0,0,2,7,0,0,0,0,0,0,0,2,3,0,0,4
otu10061,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0
otu10062,0,0,2,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0
otu10063,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
otu10064,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10065,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10066,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
otu10067,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
otu10068,0,0,1,1,0,2,0,0,0,1,1,7,1,0,0,0,0,0
otu10069,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1007,0,0,0,1,0,2,0,0,0,1,1,0,1,1,0,0,1,0
otu10070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10076,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
otu10081,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0
otu10083,0,0,0,0,0,0,2,0,3,2,0,0,0,0,1,0,0,0
otu10085,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10086,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
otu10088,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
otu10089,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
otu1009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10090,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1
otu10099,0,0,2,3,0,1,0,0,0,1,1,2,0,0,0,0,0,0
otu101,29,76,18,127,236,27,35,9,3,7,21,4,50,78,16,36,84,11
otu1010,4,17,6,1,2,0,6,57,4,0,3,0,30,172,7,9,4,6
otu10101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu10102,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
otu10103,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10105,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10106,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
otu10109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10115,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
otu10116,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10117,2,0,0,3,0,1,5,1,0,2,1,0,0,1,1,1,1,2
otu1012,6,0,0,1,1,2,93,3,6,7,6,0,0,0,0,8,36,21
otu10123,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2
otu10124,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
otu10125,3,1,1,1,0,0,0,4,0,0,0,0,5,0,3,0,0,0
otu1013,0,0,25,0,0,0,27,6,512,0,0,9,0,1,1,26,0,23
