,DLSt01,DLSt02,DLSt03,DPSt01,DPSt02,DPSt03,HLt01,HLt02,HLt03,SLTt01,SLTt02,SLTt03,SLt01,SLt02,SLt03,XSt01,XSt02,XSt03
otu10131,2,0,0,2,1,0,0,0,0,0,0,0,1,4,2,0,0,1
otu10132,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
otu10133,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10135,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0
otu10136,0,1,0,0,0,0,0,2,0,0,0,0,2,2,0,1,0,0
otu10137,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10138,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3
otu10139,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
otu1014,15,2,5,7,4,24,18,1,21,4,0,0,8,1,6,14,0,14
otu10144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10145,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,9,6
otu10147,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0
otu1015,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10151,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
otu10152,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
otu10153,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10154,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
otu10155,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
otu10159,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
otu1016,2,0,0,17,81,18,0,0,0,12,11,11,2,4,0,0,1,1
otu10164,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,8
otu10183,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10184,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0
otu10189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10195,9,1,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0
otu10196,20,4,9,0,0,0,1,0,0,1,0,0,3,2,0,1,0,0
otu10197,1,0,1,0,3,0,0,0,0,0,1,0,0,0,2,0,0,2
otu10198,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
otu10199,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,2
otu10200,4,0,4,0,0,0,0,1,0,0,0,0,2,0,1,3,0,0
otu10201,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
otu10202,11,6,1,1,0,3,4,1,1,0,1,0,1,0,2,1,2,3
otu10203,2,0,0,1,0,1,2,0,0,0,0,0,1,0,2,0,0,5
otu10204,5,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
otu10205,2,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
otu10206,3,0,0,0,0,1,0,1,0,0,0,0,7,2,0,0,0,0
otu10207,0,0,0,0,0,0,4,1,4,2,0,0,0,0,0,0,0,2
otu10208,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0
otu10209,2,1,1,0,0,1,0,0,0,2,0,0,1,0,3,0,0,2
otu1021,32,39,342,0,2,3,8,0,59,32,2,36,45,9,34,0,0,0
otu10210,7,87,4,1,3,1,1,1,0,3,50,0,3,0,5,0,24,8
otu10211,0,2,0,0,0,2,0,1,0,1,0,0,0,0,1,0,5,5
otu10212,1,9,2,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0
otu10213,3,3,2,1,0,0,0,0,0,0,0,0,15,1,5,2,0,2
otu10214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2
otu10216,2,17,1,0,1,0,0,9,1,0,5,0,1,0,0,0,0,1
otu10217,3,9,3,5,0,0,0,0,0,0,0,0,81,1,6,4,0,0
otu10218,1,11,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
otu10219,2,2,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
otu1022,3,3,5,2,0,0,1,1,0,0,1,0,12,0,6,1,0,0
otu10220,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10221,1,2,8,0,0,0,3,0,0,0,0,0,1,0,0,1,0,2
otu10222,0,2,0,2,0,0,0,1,0,0,0,0,1,2,1,1,1,2
otu10223,1,3,0,0,0,1,0,0,0,0,0,0,1,0,14,0,0,0
otu10224,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0
otu10225,0,0,6,0,0,0,0,7,0,0,0,0,1,1,0,0,0,1
otu10226,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,0,3
otu10227,1,1,1,0,0,1,0,0,0,0,0,0,0,0,10,0,0,1
otu10229,6,1,8,2,0,1,30,5,1,3,0,1,4,4,5,11,9,17
otu10235,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
otu10238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu1024,0,0,0,44,0,0,40,19,15,0,0,0,9,0,0,437,0,21
otu10241,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,6
otu10251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10254,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10258,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
otu1026,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1
otu10261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10265,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0
otu1027,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0
otu10271,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10273,0,4,0,0,0,0,2,7,0,0,1,0,0,12,0,0,1,0
otu10279,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu1028,0,0,0,0,0,3,10,5,6,1,0,0,0,3,6,1,302,107
otu10280,0,0,0,2,8,0,0,1,1,2,1,0,5,0,4,1,0,0
otu10282,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1
otu10287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
otu10288,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
otu10289,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu1029,9,26,8,11,23,6,10,70,7,4,11,1,38,146,84,12,1,21
otu10290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10299,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu103,13,97,16,4091,52,63,2,42,28,119,391,63,76,1,2,46,2,1
otu10306,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0
otu1031,1,1,4,6,1,8,6,11,6,0,2,2,3,2,12,20,0,19
otu10310,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10312,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10318,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
otu1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1033,47,0,17,1,0,1,97,19,40,5,2,3,3,2,4,21,24,34
otu1034,6,1,12,42,7,298,4,5,11,14,18,45,20,1,28,17,1,33
otu10342,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10345,0,0,0,20,0,1,0,0,0,1,0,1,0,0,0,0,0,0
otu10346,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10347,1,0,1,9,0,0,0,0,1,0,1,2,0,0,0,1,0,0
otu10348,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,7,0,6
otu10349,0,0,0,17,0,0,0,0,0,0,0,1,14,0,1,9,0,5
otu1035,23,4,8,0,0,2,3,0,0,6,0,1,2,29,3,0,25,2
otu10350,1,0,1,1,0,0,6,1,0,0,0,0,0,1,0,3,0,1
otu10351,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
otu10352,1,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0
otu10353,0,1,0,4,0,0,0,2,0,1,1,2,0,0,0,0,0,0
otu10354,0,0,0,0,3,1,0,0,0,2,2,0,0,0,0,0,0,0
otu10355,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0
otu10356,1,0,0,5,1,2,8,0,0,2,0,0,0,0,1,2,0,2
otu10357,0,1,0,0,5,2,0,0,0,0,0,1,0,2,0,0,0,0
otu10358,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
otu10359,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
otu10360,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10361,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4
otu10362,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
otu10363,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1
otu10367,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
otu1037,0,0,0,0,14,9,0,0,0,0,0,0,0,6,9,0,2,16
otu10374,0,0,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,2
otu10376,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10377,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10378,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,3,0,0
otu10379,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu1038,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
otu10380,5,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
otu10382,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10383,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
otu10384,1,1,0,3,3,0,0,2,4,4,3,0,0,0,1,1,0,0
otu10385,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
otu10386,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
otu10388,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1039,1,0,0,2,0,1,0,2,0,0,0,0,4,2,10,0,0,0
otu10390,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,54
otu104,118,44,7,357,29,2398,212,27,36,6068,321,188,17,0,25,781,17,90
otu1040,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu10402,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
otu10403,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0
otu10404,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
otu10408,0,2,0,0,0,0,2,4,0,0,1,0,0,4,0,0,0,0
otu10409,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
otu1041,3,0,0,0,0,0,5,0,0,2,1,0,0,0,0,1,0,0
otu10410,23,104,28,4,3,0,82,544,58,0,27,0,54,912,29,137,6,171
otu10411,0,1,3,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0
otu10412,4,20,8,3,0,0,3,89,6,0,6,0,69,101,8,16,5,11
otu10413,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
otu10414,7,0,0,4,0,0,9,4,2,7,1,1,13,0,0,18,0,1
otu10415,0,1,0,0,0,0,0,4,0,0,3,0,1,36,0,1,1,0
otu10416,1,0,1,0,0,0,1,0,12,0,1,0,0,0,0,2,0,1
otu10417,2,1,0,1,0,0,0,2,2,0,0,0,4,2,1,3,0,1
otu1043,4,0,3,10,0,5,9,1,1,11,0,0,17,1,7,17,0,12
otu10434,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
otu10435,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,2
otu10436,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0
otu10438,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1044,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10443,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu1045,218,24,35,13,1,3,45,0,3,21,0,0,42,3,28,18,0,5
otu10452,0,1,1,0,0,0,0,0,0,0,0,0,3,0,7,0,0,1
otu10456,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
otu10457,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2
otu1046,0,0,0,0,0,0,5,0,1,0,0,0,1,5,0,14,6,3
otu10460,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,7
otu10461,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,15
otu10462,0,0,0,0,0,1,5,0,3,0,2,0,1,0,0,1,0,3
otu10464,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10465,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0
otu10466,2,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
otu10467,3,0,0,0,4,0,1,0,0,2,2,0,0,0,2,0,0,0
otu10469,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0
otu10470,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
otu10471,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
otu10472,4,1,3,2,0,6,1,0,3,3,0,1,1,1,1,2,1,1
otu10473,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu10474,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0
otu10475,23,4,10,8,3,5,32,2,3,10,7,2,8,2,18,7,18,23
otu10476,2,2,1,0,0,1,0,0,0,0,0,0,3,1,2,1,1,1
otu10477,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0
otu10478,0,0,2,0,0,0,0,0,5,0,2,0,0,0,0,2,0,2
otu10479,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
otu10480,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
otu10481,0,0,0,1,0,0,0,0,0,1,4,2,2,0,1,1,0,3
otu10483,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2
otu10484,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10485,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10487,1,2,1,0,0,0,0,1,4,0,0,0,0,0,2,1,0,0
otu10488,10,3,0,1,0,1,10,2,0,7,2,0,1,1,11,2,0,2
otu10489,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
otu10490,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
otu10493,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
otu10494,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10495,1,5,1,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0
otu10496,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
otu10498,0,0,0,2,0,0,0,0,1,0,0,11,0,0,0,0,0,0
otu10499,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu1050,40,8,5,0,1,2,48,2,2,33,5,0,0,0,2,0,0,0
otu10500,0,0,1,1,0,3,0,0,1,0,0,11,0,0,0,2,1,0
otu10501,0,2,21,0,0,0,0,0,1,0,0,4,1,2,2,0,0,0
otu10502,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10503,0,0,0,0,3,0,1,0,1,2,0,0,0,0,0,0,0,1
otu10505,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu10507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10508,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,1
otu1051,0,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
otu10513,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10517,1,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,2,2
otu10524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10526,0,0,1,0,0,0,0,0,0,0,0,3,0,2,2,1,0,1
otu10529,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10530,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10531,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10534,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
otu10539,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1054,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,5,20,21
otu10542,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
otu10548,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10549,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1055,0,25,0,31,9,27,0,14,0,30,370,20,0,0,0,0,0,0
otu10552,2,25,7,11,3,0,7,7,5,5,7,4,6,2,20,105,2,9
otu10553,6,10,2,1,0,0,3,12,1,0,2,0,15,79,5,3,1,11
otu10554,0,1,2,18,0,5,1,1,1,1,6,0,2,0,1,1,2,1
otu10556,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0
otu10557,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,4
otu10558,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1056,2,42,0,0,0,2,0,16,1,0,8,0,1,0,5,0,0,2
otu10560,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
otu10561,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10562,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10563,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
otu10564,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,3,0
otu10565,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
otu10566,1,1,0,0,0,1,0,0,3,0,0,0,3,1,7,0,0,1
otu1057,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10570,1,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
otu10574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10576,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10577,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0
otu10579,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
otu1058,0,0,0,1,4,15,0,0,0,0,0,0,2,1,9,0,1,16
otu10580,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10585,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
otu10586,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,4,0
otu10587,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0
otu10588,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10589,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
otu1059,6,0,40,172,0,1,51,0,2,10,1,0,3,0,1,17,94,33
otu10592,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0
otu10593,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
otu10597,1,2,0,0,0,8,0,0,0,0,1,0,1,2,7,0,1,12
otu10599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu106,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,61,0
otu1060,6,4,0,0,0,1,139,44,6,7,5,0,0,0,0,12,43,25
otu10600,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
