,DLSt01,DLSt02,DLSt03,DPSt01,DPSt02,DPSt03,HLt01,HLt02,HLt03,SLTt01,SLTt02,SLTt03,SLt01,SLt02,SLt03,XSt01,XSt02,XSt03
otu10108,0,1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,9,0
otu10109,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
otu1011,7,6,21,16,24,16,1,0,12,19,18,221,60,13,3,5,3,0
otu10111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
otu10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10114,0,0,2,0,0,0,1,0,4,0,0,2,0,0,0,0,2,0
otu10115,0,0,3,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0
otu10116,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,0
otu10117,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
otu10118,6,3,0,0,0,0,1,0,1,0,0,1,2,0,1,1,1,0
otu10119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu1012,0,0,0,0,1,0,1,2,0,0,2,0,0,1,1,0,2,0
otu10124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10125,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
otu10126,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
otu10127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10128,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
otu1013,30,249,66,1,0,4,11,6,5,3,23,6,16,0,24,6,2,21
otu10132,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1014,0,1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,3
otu10148,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10149,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
otu1015,0,0,8,26,0,5,8,12,55,0,0,8,16,2,3,21,9,2
otu10150,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0
otu10154,0,0,0,3,1,3,0,0,0,3,0,1,4,0,0,2,0,0
otu10159,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0
otu1016,0,0,0,0,0,1,1,4,0,0,2,0,1,0,0,0,0,0
otu10160,0,2,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0
otu10161,0,7,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
otu10163,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
otu10164,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu10165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1017,4,2,3,5,3,2,9,4,1,5,3,0,5,0,9,4,5,266
otu10171,0,1,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0
otu10172,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0
otu10173,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
otu10174,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0
otu10175,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
otu10178,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
otu10179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
otu10181,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2
otu10182,8,6,6,0,1,4,0,0,0,2,0,2,4,0,25,2,0,0
otu10183,4,0,3,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0
otu10184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10185,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0
otu10187,0,3,0,0,0,0,0,4,0,0,1,1,1,0,1,0,0,0
otu1019,4,66,3,4,1,12,3,0,3,0,78,1,4,2,11,9,3,0
otu10194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
otu102,37,521,33,368,246,441,100,9,21,620,4684,445,6,0,17,11,25,88
otu1020,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
otu10205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10208,0,9,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0
otu10209,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1
otu1021,3,15,0,12,1,8,1,160,0,2,13,2,8,0,9,11,0,0
otu10212,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
otu10213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
otu10214,0,0,0,7,0,0,0,0,0,2,1,0,1,0,0,0,2,0
otu1022,156,16,18,59,19,18,15,3,4,30,5,18,34,2,26,10,3,2
otu10220,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
otu10221,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
otu10222,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,4,1,0
otu10223,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
otu10226,0,2,0,1,2,1,0,0,0,2,20,2,0,0,0,0,0,0
otu10228,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
otu1023,17,0,0,24,16,36,32,0,6,496,16,24,0,0,0,0,0,3
otu10230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu10231,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
otu10233,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10235,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10236,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0
otu10237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10238,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,3,0
otu10239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu1024,1,1,2,0,0,0,0,0,0,0,0,1,1,4,2,0,1,10
otu10242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10244,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10246,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
otu1025,5,1,1,0,1,2,9,0,2,2,0,0,3,0,3,1,2,11
otu10251,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
otu10252,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10254,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0
otu10257,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
otu10258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10259,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
otu1026,9,7,7,1,0,6,3,0,0,6,0,0,20,0,39,1,0,0
otu10260,12,2,4,0,1,0,5,0,1,4,1,3,1,0,3,0,1,1
otu10263,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10265,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu1027,54,26,28,25,5,9,28,2,12,16,4,9,27,19,41,4,15,17
otu10272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10273,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1
otu10278,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
otu1028,108,35,45,9,4,20,38,0,13,8,5,6,36,13,90,39,28,11
otu10280,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
otu10283,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10285,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu10287,1,0,0,3,2,1,1,0,0,0,0,2,0,0,0,2,0,0
otu10289,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1029,35,13,43,11,7,31,33,0,7,9,4,4,49,59,51,22,34,38
otu10290,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10291,1,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
otu10292,1,0,0,0,1,0,1,0,0,6,0,0,0,0,1,0,0,0
otu10293,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10294,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu103,1,0,0,4,1,0,0,1,0,0,0,2,0,0,0,0,1,2
otu1030,23,1,2,37,0,0,15,0,1,27,0,1,69,0,0,36,1,0
otu10305,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
otu10306,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu10309,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1031,9,7,8,0,7,0,1,0,0,0,0,0,7,7,2,0,14,12
otu10310,2,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
otu10311,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
otu10312,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
otu10313,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10314,1,1,0,0,0,0,0,9,0,1,1,0,0,0,1,0,0,0
otu10316,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10319,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
otu10322,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10326,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0
otu10328,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
otu10330,0,0,0,0,9,1,0,0,0,2,0,1,0,0,1,0,1,0
otu10331,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10334,1,1,0,1,2,0,1,0,0,0,0,0,2,0,0,1,3,0
otu10335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
otu10339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
otu1034,5,6,10,5,7,0,0,0,3,0,0,0,17,94,16,54,21,0
otu10340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
otu10341,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
otu10343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10344,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
otu10345,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0
otu10346,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10347,2,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,2,3
otu10348,1,0,5,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0
otu1035,29,34,26,0,0,38,1,0,0,2,0,0,30,0,343,0,0,0
otu10350,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
otu10355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10359,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu1036,1,20,2,0,2,0,16,1,10,0,8,0,1,5,0,19,23,0
otu10362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10365,0,1,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
otu10366,2,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0
otu10368,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
otu10369,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0
otu1037,2,0,0,0,4,0,0,0,2,0,0,0,0,4,2,0,1,11
otu10372,0,5,0,0,0,0,2,0,8,1,0,0,0,0,7,1,2,0
otu10373,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1038,0,3,0,0,0,0,2,0,2,0,0,0,1,3,1,1,3,1
otu10382,0,0,3,0,0,1,0,1,3,0,0,0,0,0,1,1,0,0
otu10383,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10384,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10385,0,0,0,0,0,1,2,0,4,0,0,1,0,0,0,0,1,1
otu10387,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0
otu10389,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1039,1,3,0,0,0,0,0,0,0,0,0,0,4,1,1,0,5,1
otu10390,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
otu10391,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
otu10392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10393,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10394,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0
otu10395,2,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,1,0
otu10398,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
otu10399,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
otu104,260,61,68,21,280,243,118,1,21,157,18,43,58,6,627,20,836,13
otu1040,1,1,26,0,1,10,0,0,26,0,0,36,0,0,8,2,2,0
otu10400,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
otu10404,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
otu10405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu1041,0,6,3,0,1,0,0,0,0,0,0,0,4,4,3,0,7,16
otu10410,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10411,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10412,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0
otu10417,1,11,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0
otu10418,1,3,8,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
otu10419,1,4,2,1,1,3,0,0,0,2,3,2,7,0,4,3,0,0
otu1042,1,2,0,0,0,0,0,10,0,0,3,0,0,3,0,0,2,4
otu10420,0,0,0,0,2,0,0,0,0,1,7,1,0,0,0,0,0,0
otu10421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10422,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
otu10423,13,2,3,2,2,1,6,0,0,3,0,1,4,0,7,0,4,1
otu10425,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu1043,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
otu10431,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
otu10432,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10433,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0
otu10437,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1044,6,0,0,0,0,3,13,0,4,1,1,1,0,3,7,3,6,3
otu10442,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10444,1,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
otu10445,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
otu10446,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
otu10448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu10450,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,2
otu10451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu10453,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0
otu10454,3,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
otu10455,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
otu10456,0,1,1,0,0,1,0,2,1,3,0,1,0,0,1,0,0,0
otu10457,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10458,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1
otu10459,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
otu1046,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
otu10462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1047,11,3,2,167,20,33,2,1,0,40,30,30,43,0,0,40,1,2
otu10470,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
otu10471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10474,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0
otu10476,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1048,3,0,0,41,72,21,1,0,0,18,15,12,36,0,0,32,32,0
otu10480,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
otu10486,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
otu10488,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
otu1049,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
otu10490,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
otu10493,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
otu10497,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10499,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu105,38,46,44,0,32,0,0,0,0,0,0,1,19,131,25,0,88,334
otu10500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
otu10507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
otu1051,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,6
