,DLSm01,DLSm02,DLSm03,DPSm01,DPSm02,DPSm03,HLm01,HLm02,HLm03,SLTm01,SLTm02,SLTm03,SLm01,SLm02,SLm03,XSm01,XSm02,XSm03
otu10107,1,0,0,0,0,5,2,0,1,0,0,0,1,0,0,0,0,0
otu10108,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0
otu10109,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
otu1011,16,1,12,0,10,4,10,13,28,0,3,1,4,25,4,4,0,1
otu10110,1,2,1,0,0,0,1,6,1,0,0,0,0,2,1,1,0,0
otu10111,5,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
otu10112,0,2,1,0,0,0,1,0,0,3,0,0,0,0,1,2,0,2
otu10113,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0
otu10114,0,2,0,0,0,0,0,1,4,0,0,1,0,2,0,0,1,0
otu10116,0,0,0,0,2,0,1,1,0,0,1,0,3,2,0,1,1,0
otu10117,0,0,1,0,1,0,4,0,4,0,0,0,0,13,0,2,0,2
otu10118,0,0,0,0,1,0,1,0,0,0,0,1,4,4,0,2,0,0
otu10119,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,0
otu1012,2,0,0,1,1,0,0,1,0,1,5,5,0,0,0,0,1,0
otu10120,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10121,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu10123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10126,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0
otu10127,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10129,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu1013,0,1,2,0,1,9,2,18,4,0,6,21,21,2,0,0,2,0
otu10138,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0
otu10139,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
otu1014,0,0,0,0,0,0,0,2,0,1,8,7,2,0,0,0,2,0
otu10141,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10143,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10148,1,0,1,1,6,5,6,0,0,2,0,0,1,2,0,1,0,1
otu10149,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
otu1015,17,16,21,2,0,2,2,18,18,507,15,7,2,7,138,20,6,0
otu10150,1,0,9,0,22,38,4,0,0,0,0,0,1,1,0,2,0,1
otu10151,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10154,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10159,0,0,0,0,4,0,2,1,0,0,0,3,2,0,0,1,0,0
otu1016,0,0,0,7,5,0,1,0,0,3,0,6,0,0,0,0,0,0
otu10160,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
otu10161,0,1,2,1,0,0,0,1,1,0,4,6,0,0,0,0,2,0
otu10165,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10169,7,4,0,0,2,0,0,1,0,3,0,0,0,0,1,0,0,0
otu1017,4,2,5,1,3,0,4,2,2,1,69,1,2,1,4,10,4,2
otu10170,1,0,0,6,0,0,0,0,0,1,0,1,2,0,0,0,0,1
otu10171,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0
otu10173,3,3,2,0,0,0,0,1,5,0,0,0,0,1,1,0,0,0
otu10174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
otu10175,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
otu10176,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
otu10177,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10178,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
otu10179,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
otu1018,0,0,0,0,0,274,1,0,0,0,0,0,0,2,0,0,0,0
otu10180,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0
otu10181,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
otu10182,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,3,2
otu10183,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
otu10185,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
otu10186,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
otu10187,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
otu1019,1,6,2,2,33,13,80,48,8,0,7,66,480,36,7,60,31,88
otu10196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu102,0,5,21,4,3,40,24,401,6,7,14,473,562,22,1,4,5,9
otu1020,0,0,0,33,1,14,0,0,0,1,1,0,0,0,0,0,0,0
otu10204,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
otu10208,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
otu10209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu1021,38,48,49,3,0,0,0,98,25,149,0,9,15,0,59,15,10,7
otu10210,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10211,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
otu10212,0,0,1,0,3,2,0,0,0,0,0,0,0,0,2,1,0,0
otu10214,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,1,0,0
otu1022,2,7,26,5,16,7,43,12,0,3,3,3,10,17,13,25,4,26
otu10222,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0
otu10223,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
otu10226,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0
otu1023,1,0,63,0,1,0,9,0,0,0,0,0,0,2,1,8,2,0
otu10230,6,0,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0
otu10231,4,0,0,0,0,2,0,0,0,6,8,0,0,0,0,0,0,1
otu10232,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0
otu10236,1,0,0,0,0,0,0,1,1,2,0,1,0,1,4,1,1,2
otu10237,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
otu10238,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu10239,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
