m	Moss-Soil	Moss-Water	Moss-Treehole	Moss-Sediment	Sediment-Water	Sediment-Moss	Sediment-Soil	Sediment-Treehole	Soil-Sediment	Soil-Water	Soil-Moss	Soil-Treehole	Treehole-Soil	Treehole-Moss	Treehole-Water	Treehole-Sediment	Water-Moss	Water-Soil	Water-Sediment	Water-Treehole	Region
m7	48.7217558	7.0446938	59.9958519	10.4503408	16.4947965	46.000557	18.9900759	33.4685232	45.97309	55.2191496	28.3123383	30.4530931	58.9984866	8.467478	34.5000947	8.1258967	8.7314513	31.137089	31.3905644	11.6073727	V9
m8	23.1249541	10.4461475	22.2970035	4.7863339	9.1966946	45.4343061	8.3738548	18.4007221	21.4436201	68.1799833	21.5536703	18.3696431	37.337344	8.6980015	24.6987288	4.7103398	7.865789	28.0570951	20.142841	12.4796315	V9
m9	24.651142	6.6236841	48.6550342	4.7941542	15.7279756	41.0797058	12.1858455	22.2561229	19.644281	52.352517	40.9037745	17.6160175	51.8743503	9.4620093	28.985184	6.3412374	5.8703743	17.9839667	28.7628243	10.2333684	V9
m10	41.786289	15.0092513	33.7931768	14.755433	15.8895344	95.7716406	14.0803218	16.1855083	42.2894013	54.6361702	15.7898643	17.8049419	34.7112495	12.5510286	15.9005917	13.7960107	17.3443086	20.4371363	35.5651601	8.6048098	V9
m11	55.9584535	9.2385867	36.8533494	12.0759693	57.1744821	79.1920952	11.622128	23.1626788	64.1042645	25.8394549	15.233147	16.8833565	65.5416265	12.6740047	14.6925093	13.1996481	20.951422	8.8513175	8.6906512	10.1405673	V9
m12	15.3372542	12.2484274	48.3225153	10.4646424	12.2796906	93.778368	14.0879985	11.6230609	17.8270077	43.2916463	18.7552143	12.7631946	41.0815546	16.2262539	18.0036738	9.7902486	22.3491248	24.6330034	13.5833863	8.2374565	V9
m13	38.8516532	35.3444416	44.9086493	23.6187237	13.7122285	17.771146	36.2714135	13.4051633	29.9946566	68.5085349	35.5208582	14.558833	71.0618508	50.7309507	29.5996406	11.766893	8.8205881	20.9660456	25.4261458	8.1448855	V9
m14	30.2456973	31.2293981	25.2692167	16.5087715	10.5748302	14.8978572	62.0394174	13.2018073	32.5205088	27.7816135	31.4231959	17.4934151	50.8875493	75.7521283	32.823891	9.7829675	6.7425693	13.4810165	9.3944639	8.6280952	V9
m15	28.9788056	13.7312578	57.0036182	12.9269023	17.7862766	13.9294217	29.4516231	10.9300528	38.7579775	92.8642923	30.2396017	11.496379	60.4291893	28.860346	29.0969562	7.5582138	9.0395606	13.5861255	14.5514211	7.6639757	V9
m16	31.8844125	21.0799809	85.3623253	16.9551363	17.3947683	40.6356681	15.5709954	10.6998221	33.2425236	67.5174887	55.5773335	11.1145099	59.8952928	24.3542675	50.6610918	7.9767266	8.1099423	9.6078526	22.7412741	12.9860304	V9
m17	24.5857455	26.8785443	81.8047429	11.4009473	11.7674653	47.8267632	41.0617185	10.5769123	18.5233274	41.4078708	47.9504176	15.3712173	60.7534354	23.1768883	50.683789	16.1949304	7.2612031	14.5868895	24.9701643	15.6097325	V9
m18	36.6015497	13.1687807	46.0009522	14.7029476	11.267654	39.2690094	38.109176	8.8169234	33.5563231	38.4180027	36.5979067	13.6188171	64.6420264	12.2498177	38.0036868	11.7412042	8.7674839	17.4782064	23.2127149	14.5157278	V9
