	PD	SR
DLSm01	206.613635883	2818
DLSm02	189.303826284	2587
DLSm03	216.066211204	3122
DLSs01	270.653342531	4001
DLSs02	211.99544641	2927
DLSs03	281.856496233	4157
DLSse01	173.969834714	2334
DLSse02	171.388509922	2205
DLSse03	171.374514536	2299
DLSt01	240.932757414	3374
DLSt02	237.686894351	3209
DLSt03	231.071627461	3139
DLSw01	190.43833563	1975
DLSw02	213.036275509	2198
DLSw03	207.929928254	2710
DPSm01	253.398025256	3338
DPSm02	225.657132921	3288
DPSm03	248.894538802	3749
DPSs01	208.115056632	2857
DPSs02	244.293538671	3317
DPSs03	229.56445687	3092
DPSse01	207.635990673	2607
DPSse02	206.436292411	2562
DPSse03	193.105429713	2409
DPSt01	187.217360985	2452
DPSt02	204.003907688	2595
DPSt03	194.812945965	2687
DPSw01	223.816571208	2959
DPSw02	196.11001382	2279
DPSw03	223.250885946	2874
HLm01	231.315537453	3401
HLm02	197.388057216	2546
HLm03	178.224622015	2419
HLs01	243.481675785	3870
HLs02	232.801485534	3701
HLs03	238.204438069	3733
HLse01	183.305470126	2496
HLse02	183.827447811	2508
HLse03	177.568730583	2284
HLt01	224.309852024	3139
HLt02	215.309442369	2382
HLt03	209.482461313	2640
HLw01	225.280981111	2786
HLw02	175.899196253	1790
HLw03	139.177133864	1466
SLTm01	262.987802487	3572
SLTm02	256.031084501	3742
SLTm03	206.720524213	2616
SLTs01	196.882300226	2681
SLTs02	201.14324989	2612
SLTs03	201.198365216	2705
SLTse01	208.598572851	2761
SLTse02	170.611926617	2057
SLTse03	201.796942983	2714
SLTt01	204.525244743	2781
SLTt02	200.40137438	2531
SLTt03	189.909629403	2461
SLTw01	236.464102981	3025
SLTw02	252.678667606	2966
SLTw03	231.364226538	2655
SLm01	221.074678055	3079
SLm02	199.319717598	2725
SLm03	190.238400705	2607
SLs01	312.882509877	5003
SLs02	279.704528957	4064
SLs03	281.849854703	4158
SLse01	223.528081289	3042
SLse02	230.334973516	3026
SLse03	190.670214194	2490
SLt01	224.269648399	3027
SLt02	191.762539736	2432
SLt03	238.261390358	3305
SLw01	219.713069775	2716
SLw02	226.766450339	2923
SLw03	215.859897911	2505
XSm01	202.180669977	2939
XSm02	214.096577131	2786
XSm03	213.343168967	3047
XSs01	263.097135933	4211
XSs02	260.396687973	4226
XSs03	265.644749197	4271
XSse01	231.954329559	3140
XSse02	236.090119136	3245
XSse03	197.136921057	2521
XSt01	209.137267864	2734
XSt02	245.527765	3605
XSt03	221.512802716	3064
XSw01	200.66778572	2239
XSw02	239.830965305	2840
XSw03	214.638967394	2568
