,DLSw01,DLSw02,DLSw03,DPSw01,DPSw02,DPSw03,HLw01,HLw02,HLw03,SLTw01,SLTw02,SLTw03,SLw01,SLw02,SLw03,XSw01,XSw02,XSw03
otu1,391,208,79,117,37,70,54,16,21,1091,328,75,694,50,67,182,46,5
otu10,14994,24819,3749,9785,212,536,427,448,630,209,717,1240,6527,2171,743,7463,3449,16393
otu100,27,32,733,63,2450,2644,45,3,19,354,60,86,1030,911,1149,4,109,36
otu1000,4,10,5,0,0,0,1,14,0,0,4,14,0,1,1,0,0,0
otu10002,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,1,2,0
otu10003,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
otu10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu1001,0,0,0,0,2,3,0,0,0,5,0,1,0,0,0,1,1,0
otu10014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu1002,1,2,0,1,1,5,0,2,0,0,50,1,1,0,1,0,0,0
otu10020,0,2,0,0,1,0,0,0,0,6,2,0,0,0,1,0,0,0
otu10021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
otu10022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
otu10023,0,0,1,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0
otu10026,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
otu10027,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
otu10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu1003,59,51,17,86,49,31,23,33,14,40,9,29,3,8,5,5,6,2
otu10030,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu10038,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,3,0,0
otu10039,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu1004,0,0,0,0,1,2,1,0,0,6,0,0,0,7,0,1,1,7
otu10043,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
otu10045,0,0,0,0,0,0,0,0,0,8,0,4,0,0,1,0,0,0
otu10047,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
otu10048,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10049,0,0,1,1,0,1,0,0,0,1,0,6,1,0,1,1,6,0
otu1005,2,42,49,297,4,3,2,3,3,6,13,44,128,17,11,2,8,16
otu10050,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10055,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10058,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10059,0,0,0,0,2,0,0,1,0,1,3,0,3,0,1,0,0,4
otu1006,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0
otu10062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10065,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
otu10066,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
otu10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10068,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
otu10069,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
