,DLSw01,DLSw02,DLSw03,DPSw01,DPSw02,DPSw03,HLw01,HLw02,HLw03,SLTw01,SLTw02,SLTw03,SLw01,SLw02,SLw03,XSw01,XSw02,XSw03
otu1007,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
otu10070,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10075,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
otu10077,0,0,0,0,0,2,0,0,0,1,11,0,0,0,0,0,0,0
otu10078,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10079,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
otu1008,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
otu10080,4,5,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10088,0,0,0,0,0,0,0,0,0,3,11,1,4,0,0,1,0,0
otu10089,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1009,0,0,2,7,1,5,8,8,3,4,16,10,1,8,0,198,177,236
otu10090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10091,0,0,1,7,0,1,1,0,0,0,0,7,0,0,0,0,2,0
otu10092,0,0,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0
otu10094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10
otu10096,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,8
otu10097,1,1,0,0,0,1,0,1,1,1,1,1,0,0,2,0,0,0
otu10099,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu101,198,206,0,0,44,40,113,1,87,54,1,1,4318,4374,6401,1,121,33
otu1010,0,0,1,5,0,1,0,0,5,3,2,0,0,2,0,3,1,0
otu10101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
otu10103,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu10104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu1011,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
otu10111,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
otu10117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1012,3,6,46,82,2,5,59,22,12,15,69,4,70,33,34,11,4,4
otu10120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
otu10121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10124,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
otu10125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
otu1013,0,2,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,1
otu10130,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10132,0,0,0,0,0,0,0,0,0,0,0,0,7,1,12,0,0,0
otu10135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10137,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0
otu10139,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,2
otu1014,1,1,43,18,150,110,7,4,1,19,36,3,5,3,2,3,8,2
otu10141,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0
otu10143,0,1,7,4,0,1,0,1,0,0,1,6,1,0,1,3,3,0
otu10144,0,0,0,0,0,3,0,0,0,1,9,7,0,0,0,0,0,0
otu10145,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10146,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10147,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
otu1015,0,1,0,1,0,2,0,3,0,4,1,15,0,3,0,0,1,1
otu10150,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,1
otu10151,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10152,0,0,0,1,0,1,0,0,0,5,7,0,0,0,1,0,0,0
otu10155,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0
otu10159,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0
otu1016,9,1,2,10,14,29,5,1,2,195,286,75,51,3,9,18,8,16
otu10160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10162,0,0,0,0,0,0,0,0,0,21,1,0,0,0,1,0,0,0
otu10164,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0
otu10166,0,0,0,0,0,0,0,0,0,0,0,0,1,11,9,0,0,0
otu10167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
otu1017,0,0,6,6,0,0,1,0,0,1,2,22,0,0,1,0,2,2
otu10175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
otu10178,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,5
otu10179,1,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0
otu1018,0,0,1,0,0,12,12,0,0,6,0,0,0,22,7,0,0,15
otu10182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10184,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10186,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1
otu10187,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10188,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0
otu10189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1019,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0
otu10190,0,0,0,0,0,0,9,3,0,0,0,5,0,0,0,0,0,0
otu10191,1,0,0,0,1,0,0,0,0,0,0,0,4,8,13,0,0,0
otu10192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10193,1,0,0,0,0,0,0,0,0,2,8,0,0,1,1,0,0,0
otu10194,1,0,1,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0
otu10195,0,6,0,2,0,0,0,0,5,0,0,0,0,0,1,0,0,0
otu10196,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
otu102,3,1,2,0,0,1,2,1,0,1,2,0,1,2,1,0,0,4
otu1020,23,0,5,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0
otu10200,0,1,0,0,0,1,2,0,0,0,0,0,0,6,12,0,0,0
otu10202,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10204,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
otu1021,2,0,0,0,0,0,4,1,0,3,5,1,0,0,1,0,4,4
otu10210,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0
otu10212,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1022,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
otu10221,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
otu10222,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10225,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
otu10227,0,2,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0
otu10230,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10233,0,0,0,0,0,0,0,0,0,2,4,4,0,1,0,0,0,1
otu10234,0,1,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0
otu10235,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10236,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1024,8,2,3,6,0,1,0,0,0,6,16,2,0,1,2,0,0,0
otu10241,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10244,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10246,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
otu10247,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
otu10249,0,0,0,1,0,0,0,0,0,0,0,0,18,2,1,0,1,0
otu1025,0,0,4,2,4,0,14,0,0,11,0,0,1,0,9,1,3,1
otu10250,0,1,0,0,0,0,0,0,0,0,0,0,6,6,9,0,2,2
otu10251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10252,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
otu10255,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
otu10258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu1026,4,10,8,9,23,27,2,0,2,5,2,5,93,202,159,2,2,7
otu10262,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
otu10263,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10266,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
otu10268,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10269,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
otu1027,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,1,0
otu10270,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10271,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10272,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
otu10273,0,0,0,0,0,1,0,2,0,0,0,1,0,1,1,1,0,1
otu10279,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
otu1028,0,0,2,0,1,0,0,1,0,1,0,1,1,3,0,0,2,1
otu10280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10281,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
otu10283,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
otu10284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
otu10285,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,7,3,6
otu10286,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10287,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu1029,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
otu10295,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
otu10296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu10298,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
otu103,0,2,13,3,51,242,3,1,2,37,9,2,62,279,3,7,136,199
otu1030,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0
otu10301,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,5,1,0
otu10307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1031,0,1,4,26,0,1,0,1,0,3,0,0,5,17,1,1,0,0
otu10310,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10312,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10314,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
otu10315,0,0,0,0,0,0,0,1,0,0,0,15,3,0,1,0,0,0
otu10316,0,0,2,1,1,6,0,0,0,0,5,0,0,0,0,0,0,0
otu10317,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10318,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10319,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
otu1032,0,0,0,0,1,1,0,0,0,7,38,1,0,0,0,0,0,0
otu10320,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1
otu10321,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0
otu10322,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0
otu10324,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1
otu10326,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
otu10327,0,0,0,0,0,0,2,5,3,0,0,0,0,0,1,0,1,1
otu10328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10329,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
otu1033,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10338,4,0,0,1,0,0,0,1,1,0,0,0,1,4,5,1,0,0
otu10347,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10352,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
otu10353,2,4,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0
otu10355,14,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10358,0,0,0,0,6,2,0,0,0,0,0,0,1,1,0,1,0,0
otu1036,1,5,36,25,2,4,1,2,2,5,1,39,76,15,12,70,27,12
otu10362,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
otu10368,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1037,0,0,2,1,0,2,1,1,1,11,69,1,6,5,2,0,0,0
otu10371,0,0,0,0,0,3,0,0,0,5,1,1,0,0,1,0,2,0
otu10373,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10376,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0
otu1038,4,9,71,28,5,11,6,3,8,1,10,9,181,130,232,15,37,13
otu10380,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10385,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu1039,1,0,0,10,10,0,2,0,3,1,1,0,7,1,2,8,10,0
otu10391,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10392,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
otu10393,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10398,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,6
otu104,0,0,2,3,1,27,2,0,3,13,0,2,4,17,2,7,2,18
otu1040,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
otu10401,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
otu10402,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
otu10404,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10405,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10407,0,0,0,0,0,0,2,0,0,7,1,1,0,0,0,0,0,0
otu10408,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10409,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1041,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0
otu10413,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10414,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
otu10416,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1
otu1042,7,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
otu10421,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
otu10423,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
otu10424,1,1,1,1,0,0,1,0,2,1,0,0,1,1,6,0,0,1
otu10425,9,7,0,3,0,0,0,0,1,0,0,0,2,1,2,0,0,0
otu10427,0,1,1,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0
otu10428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1043,0,2,46,12,207,62,0,4,1,35,9,14,13,3,7,7,9,1
otu10431,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
otu10432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10434,0,0,0,0,1,1,1,2,0,0,0,13,0,2,0,0,0,0
otu1044,0,0,0,0,5,0,3,0,0,1,0,0,3,4,0,0,5,0
otu10440,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
otu10445,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
otu10447,0,3,1,1,0,0,0,0,3,0,0,0,0,3,2,0,0,0
otu1045,0,0,24,8,191,199,0,0,0,30,8,5,4,6,0,0,8,0
otu10454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10458,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu1046,0,0,0,4,2,6,14,3,2,0,0,0,4,0,0,113,196,251
otu10460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
otu10461,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
otu10464,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
otu10465,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10466,1,0,0,0,0,0,0,0,0,0,0,0,6,14,1,0,0,1
otu10467,0,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10468,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,6,1,0
otu10469,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1047,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,1,1,0
otu10479,0,1,0,3,0,0,0,0,0,0,0,0,0,1,7,0,0,0
otu1048,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0
otu10480,0,0,0,1,0,0,0,1,0,0,6,0,0,2,0,0,0,0
otu10481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
otu10485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
otu1049,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,1
otu10490,2,1,10,19,0,1,4,0,0,2,0,0,1,4,79,0,0,0
otu10491,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5
otu10492,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10493,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10494,0,0,7,6,0,0,0,0,0,1,0,0,0,2,0,0,0,0
otu10495,0,0,0,0,6,5,0,0,0,0,1,0,3,0,0,0,0,0
otu10496,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10498,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1,0,0,0
otu10499,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
otu105,0,1,11,18,1,0,3,0,1,30,2,1,46,26,12,8,0,0
otu1050,0,0,35,17,128,273,0,0,1,6,7,7,6,8,0,0,4,3
otu10503,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,14,1,0
otu10505,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
otu10506,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1051,1,0,0,0,7,2,13,1,5,9,3,3,3,5,3,1,3,2
otu10510,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,3,2
otu10511,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10518,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1052,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,4,0,0
otu10520,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10522,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu10524,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10526,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
otu10527,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
otu10528,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0
otu1053,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
otu10532,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10534,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
otu10536,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
otu10537,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu1054,0,0,0,0,0,1,1,0,0,3,1,0,0,3,0,0,1,35
otu10540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10541,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0
otu10542,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10543,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10545,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
otu10546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5
otu10548,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu1055,0,1,42,7,173,178,0,0,0,24,13,21,4,6,0,0,5,1
otu10550,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
otu10551,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0
otu10554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
otu10557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10558,0,0,0,1,2,0,0,0,0,2,1,0,4,0,0,0,0,0
otu1056,2,0,0,0,0,0,2,2,0,0,4,0,0,0,0,2,0,2
otu10560,3,1,0,0,0,1,0,0,0,6,1,3,9,2,0,0,0,0
otu10561,1,1,0,2,0,1,0,0,0,0,5,0,1,2,0,1,3,0
otu10562,1,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0
otu10563,0,0,0,0,0,1,0,1,0,0,0,15,0,0,0,0,0,0
otu10564,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10565,0,0,3,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu10567,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,4
otu10568,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1057,72,40,27,54,2,1,2,6,3,20,12,1,3,10,3,2,0,3
otu10570,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10572,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
otu10573,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10576,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
