,DLSm01,DLSm02,DLSm03,DPSm01,DPSm02,DPSm03,HLm01,HLm02,HLm03,SLTm01,SLTm02,SLTm03,SLm01,SLm02,SLm03,XSm01,XSm02,XSm03
otu1,2,10,3,0,1,1,0,1,0,442,203,192,4,5,2,0,0,0
otu10,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
otu100,260,187,1,2,6,0,487,247,1,0,36,8,4,2,55,5,8,79
otu1001,34,6,13,0,7,0,366,21,50,0,2,2,13,41,62,29,19,36
otu10010,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
otu10011,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,4
otu10019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu1002,6,1,13,0,0,0,6,2,9,0,0,0,9,0,0,8,0,0
otu10023,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10025,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,25,1,0
otu1003,0,0,0,9,4,4,0,0,0,10,0,1,0,0,0,0,0,0
otu10034,29,12,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0
otu10035,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
otu10036,20,1,2,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0
otu10037,6,3,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
otu10038,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
otu10039,2,0,0,0,0,1,2,0,0,0,0,0,0,2,6,1,0,0
otu1004,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
otu10040,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
otu10041,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
otu10042,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10043,2,0,2,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0
otu10044,7,21,5,2,0,3,4,2,0,1,12,12,8,2,9,8,9,2
otu10045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10046,8,3,1,19,0,0,52,0,0,0,0,1,31,2,2,6,4,3
otu10047,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12
otu10048,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
otu10049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1005,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10050,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
otu10051,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10052,1,2,0,0,1,0,1,2,0,4,2,5,1,0,0,3,0,0
otu10053,2,0,0,0,1,1,0,1,1,0,10,7,1,0,0,1,2,0
otu10054,0,7,0,0,0,0,0,0,0,0,33,1,0,1,1,0,4,5
otu10055,1,3,0,0,1,0,0,0,0,0,0,0,2,6,2,0,0,0
otu10056,0,1,0,0,0,0,2,10,0,0,0,0,0,0,0,3,2,2
otu10057,1,2,0,0,0,1,1,1,3,0,0,0,0,3,1,1,1,7
otu10058,4,3,1,0,0,0,1,0,1,0,1,0,1,6,8,0,1,1
otu10059,1,0,1,0,1,0,0,1,0,0,0,0,0,2,3,0,1,3
otu1006,0,0,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0
otu10060,7,8,7,2,9,0,1,1,0,0,0,0,11,66,68,1,8,3
otu10061,0,1,0,1,0,0,0,7,1,0,0,0,0,1,0,1,0,1
otu10062,0,0,4,0,0,0,8,2,87,0,0,0,0,0,0,2,0,3
otu10063,0,0,4,0,0,0,4,1,18,0,0,0,0,0,0,1,0,0
otu10064,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,9,0,0
otu10065,0,1,11,0,0,6,0,0,0,0,1,0,0,3,0,0,0,0
otu10066,0,0,3,1,1,15,0,0,0,0,0,0,1,0,1,1,0,1
otu10067,0,0,2,0,0,0,0,1,7,0,0,0,0,0,0,0,2,0
otu10069,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
otu1007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
otu10070,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10075,2,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,0
otu10076,1,0,0,0,3,0,7,0,0,0,0,4,1,0,2,0,0,0
otu10079,0,0,0,1,2,0,0,0,0,7,1,0,0,1,0,1,1,0
otu1008,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu10081,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
otu10083,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0
otu10084,0,0,0,1,0,0,0,0,0,36,2,1,0,0,0,0,0,0
otu10085,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10086,0,0,0,2,0,0,0,0,0,0,0,1,2,2,1,1,0,2
otu10088,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,1,1,3
otu10089,0,0,3,0,0,1,1,0,1,3,1,1,0,0,2,0,0,0
otu1009,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0
otu10090,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
otu10092,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu10094,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10098,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10099,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
otu101,97,122,135,147,88,2,316,640,448,0,83,17,1493,702,105,922,8091,790
otu1010,0,8,0,0,0,1,0,7,0,0,0,0,2,6,2,0,5,0
otu10101,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10103,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
otu10104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
