,DLSse01,DLSse02,DLSse03,DPSse01,DPSse02,DPSse03,HLse01,HLse02,HLse03,SLTse01,SLTse02,SLTse03,SLse01,SLse02,SLse03,XSse01,XSse02,XSse03
otu1,25797,29056,29758,30,22,50,8739,15671,9184,2312,1670,2497,2975,34,3795,679,792,851
otu10,23,20,28,1,39,5,0,1,1,0,3,5,38,235,48,3,55,7
otu100,0,0,0,70,45,120,0,0,0,6,1,11,9,9,18,2,1,4
otu1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10006,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0
otu10007,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1001,1,0,1,0,37,1,2,0,0,0,0,0,0,0,0,0,30,0
otu10011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10014,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
otu1002,2,1,0,0,2,0,0,0,1,4,0,1,1,25,0,0,3,0
otu10023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10024,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10026,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,1,0
otu10027,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,1,1
otu10028,0,0,0,3,0,6,0,0,0,0,1,0,0,1,0,0,0,0
otu10029,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,7,3
otu1003,13,7,15,5,8,13,26,11,17,72,9,14,9,0,4,54,5,12
otu10030,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,1,1,2
otu1004,4,0,0,0,0,0,1,2,0,8,1,1,0,6,0,0,3,0
otu10040,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10041,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,1,3,5
otu10042,3,0,0,0,0,3,0,0,0,2,0,0,3,0,5,1,0,0
otu10043,0,0,0,0,0,0,3,0,1,0,0,2,0,0,1,0,2,2
otu10046,1,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0
otu10047,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
otu10048,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
otu1005,1,1,3,0,1,0,0,0,1,0,0,1,1,2,1,0,0,0
otu10051,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
otu10052,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10053,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
otu10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10058,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,2,0
otu10059,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu1006,14,27,6,1,0,0,14,19,16,12,14,10,1,0,0,1,1,0
otu10060,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu10061,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
otu10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10073,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
otu10074,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
otu10076,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,2
otu10077,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
otu10078,2,0,0,0,1,3,0,1,1,14,1,0,2,0,0,0,0,0
otu10079,0,0,0,1,3,3,1,0,2,0,0,1,0,0,0,0,2,2
otu1008,67,0,5,1,0,0,25,0,1,75,0,5,1,0,0,0,0,0
otu10080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10081,1,1,0,0,0,1,1,4,0,0,0,0,3,1,6,0,1,1
otu10082,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1
otu10083,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10084,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10088,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
otu1009,0,0,0,0,1,0,3,3,0,0,2,9,0,1,1,3,7,11
otu10095,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,1,9,0
otu10096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
otu10097,0,0,0,3,2,1,0,0,1,0,0,0,0,1,1,3,0,0
otu10098,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu101,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
otu1010,0,0,0,10,0,0,0,0,0,0,1,0,15,16,0,6,0,0
otu10100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10102,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
otu10103,1,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0
otu10105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
otu10107,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10108,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
otu1011,5,3,1,0,1,0,1,0,0,1,0,0,1,8,0,0,1,0
otu10115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
otu1012,6,10,4,1,2,0,36,76,24,10,6,25,1,3,3,12,24,4
otu10123,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10126,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1013,0,0,0,1,0,0,0,0,0,0,0,0,4,12,0,2,0,0
otu10131,0,1,0,0,0,0,5,3,1,0,0,0,0,0,0,2,0,0
otu10132,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
otu10133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10135,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
otu10136,0,2,0,1,2,8,0,0,4,5,2,2,0,0,1,1,6,1
otu10138,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
otu10139,0,0,0,2,4,0,0,1,2,0,0,4,0,0,0,1,2,0
otu1014,1,0,0,18,40,22,1,0,0,14,14,9,0,0,2,7,12,2
otu10147,0,1,1,0,0,0,3,6,3,1,0,0,0,0,0,0,2,1
otu10149,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1015,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10150,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
otu10153,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4,2
otu10154,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10156,0,0,0,0,0,0,11,25,0,0,0,0,0,0,0,0,0,0
otu10157,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
otu10158,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0
otu10159,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu1016,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0
otu10161,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10162,0,0,0,0,1,9,0,0,1,56,3,1,0,0,0,0,0,0
otu10163,0,0,0,0,1,0,0,0,0,0,0,0,1,9,0,0,0,0
otu10165,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0
otu10166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu10167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
otu10168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
otu10169,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu1017,0,0,0,35,0,0,0,0,0,0,0,1,80,4,4,34,0,0
otu10170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10172,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
otu10174,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
otu10175,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
otu10176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10177,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10178,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10179,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10182,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
otu10184,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10187,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10188,0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,0,4,0
otu1019,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
otu10191,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10193,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10195,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,1,1,0
otu10196,1,0,1,0,1,0,1,0,0,4,0,0,1,0,0,0,0,1
otu10197,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2
otu10198,0,0,0,0,0,0,2,5,4,0,0,0,0,1,0,0,0,1
otu10199,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,5,5,1
otu102,3,1,1,20,0,0,4,1,0,8,0,1,17,1,0,21,0,0
otu10202,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
otu10203,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10205,0,0,0,1,0,1,0,0,2,2,0,6,0,0,0,0,1,0
otu10206,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
otu10207,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5,0
otu10209,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu1021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10212,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
otu10213,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
otu10214,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10215,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
otu10216,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
otu10217,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
otu10218,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0
otu10219,0,0,0,0,0,0,1,19,2,0,0,0,0,0,0,4,0,0
otu1022,0,0,0,2,0,1,0,0,0,0,0,0,2,15,0,0,0,0
otu10224,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10225,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
otu10227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10228,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
otu10231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10232,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10234,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu10235,0,0,1,0,1,0,0,1,5,0,0,0,0,0,1,0,2,0
otu10236,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10237,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
otu10239,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
otu1024,30,22,26,10,9,17,21,35,20,68,12,19,46,10,32,49,10,19
otu10240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10244,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
otu1025,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,3,0,0
otu10252,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3
otu10253,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
otu10254,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10255,0,0,0,0,0,0,2,2,2,0,0,1,0,0,0,2,2,1
otu10256,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
otu1026,0,0,1,0,0,0,0,0,2,3,0,4,0,4,2,0,0,0
otu10260,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10263,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10266,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5
otu10267,0,0,0,1,1,4,0,0,0,3,1,2,0,0,1,0,0,1
otu10268,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1027,5,4,5,1,2,0,1,0,0,0,0,0,17,35,3,5,3,0
otu10271,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10274,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
otu10275,0,0,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0
otu10276,0,1,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0
otu10277,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0
otu10279,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
otu1028,2,1,5,1,2,0,0,0,0,0,0,2,6,25,5,1,4,0
otu10284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
otu10287,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10289,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu1029,10,12,6,6,6,0,0,0,0,0,0,0,37,52,10,5,9,0
otu10290,0,0,0,0,0,0,3,10,1,0,0,0,0,0,0,0,2,0
otu10294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10298,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
otu103,1,1,1,1,0,2,1,1,0,0,0,1,2,0,1,1,0,0
otu1030,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
otu10300,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
otu10301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
otu10302,0,0,1,0,1,0,2,1,1,1,0,1,1,0,0,2,1,0
otu10303,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
otu10304,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu10305,0,0,2,0,0,1,0,0,0,1,0,0,1,0,3,0,1,1
otu10306,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1
otu10307,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
otu10308,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10309,0,0,0,0,1,1,0,1,1,0,0,7,0,0,0,0,4,1
otu1031,21,12,11,14,18,35,7,2,0,78,11,5,84,21,57,7,2,20
otu10310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10312,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10313,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10314,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10316,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0
otu10318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6
otu10319,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1032,5,6,0,29,5,6,34,22,39,47,17,8,44,0,0,307,42,38
otu10322,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
otu10324,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,4,0
otu10327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10329,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1033,0,0,0,21,0,0,0,0,0,0,0,904,0,0,0,0,0,0
otu10331,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
otu10334,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
otu10336,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,7,2
otu10337,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,1,0,16
otu1034,9,10,6,0,22,0,0,0,0,0,0,0,11,52,13,0,17,0
otu10341,0,0,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0
otu10343,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
otu10347,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1035,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
otu10355,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10356,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
otu10357,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu10358,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10359,3,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
otu1036,0,2,1,0,1,1,5,3,1,1,0,6,0,2,1,0,13,11
otu10360,0,0,0,0,1,0,2,2,0,0,0,2,0,0,0,0,5,1
otu10361,3,3,4,0,0,0,2,2,1,0,0,0,0,0,1,0,1,0
otu10363,0,0,0,0,0,0,1,4,0,2,1,3,0,0,0,0,1,0
otu10364,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,2,0
otu10367,0,0,0,2,0,9,0,0,0,1,0,0,0,1,0,0,1,1
otu1037,17,10,17,23,32,70,17,11,11,52,15,7,50,5,34,30,16,19
otu10372,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
otu10373,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10375,0,0,0,4,3,3,0,0,0,0,0,1,0,0,0,0,0,0
otu10376,1,0,0,0,1,0,11,8,5,2,1,0,1,0,0,1,1,2
otu10379,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
otu1038,1,0,0,2,2,4,0,1,2,1,0,2,3,6,8,0,6,0
otu10380,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,1,0,1
otu10381,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
otu10388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
otu1039,0,0,2,0,0,0,0,0,0,0,0,0,13,19,1,2,0,1
otu10391,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10392,0,0,1,1,0,0,1,5,0,1,0,0,2,2,1,1,1,1
otu10394,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
otu10396,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu104,0,8,0,16,7,4,2,3,0,0,4,0,20,332,9,11,8,1
otu10400,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1
otu10408,1,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,1,1
otu10409,0,0,0,0,0,4,1,0,0,2,2,1,0,0,0,0,0,2
otu1041,27,22,14,12,0,11,0,0,0,0,0,0,134,30,89,9,0,19
otu10410,1,0,1,0,1,0,1,0,0,0,1,2,2,0,1,0,0,0
otu10411,0,0,0,0,0,1,0,1,2,0,0,0,1,0,4,0,6,2
otu10412,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0
otu10413,0,1,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,1
otu10414,0,0,0,0,1,6,0,0,0,1,0,1,0,0,0,0,0,0
otu10416,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,2,1
otu1042,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0
otu10423,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,1,0,0
otu10424,0,0,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0
otu10429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
otu1043,0,0,0,1,1,5,0,3,4,0,0,1,2,0,7,0,0,1
otu10435,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
otu10436,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,4,0
otu10437,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
otu10439,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0
otu1044,4,0,0,5,3,6,0,1,0,2,1,0,10,1,4,4,7,2
otu10440,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
otu10441,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0
otu10442,0,2,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0
otu10444,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10445,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,1
otu10447,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0
otu10448,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,0
otu10449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
otu1045,0,0,0,1,5,2,0,0,0,1,0,1,1,0,0,0,1,1
otu10451,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10453,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10455,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10462,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,2
otu10463,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10465,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10467,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
otu10468,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
otu10469,1,0,0,2,0,1,3,0,0,3,1,0,0,0,2,3,0,0
otu1047,2,0,1,1,1,0,6,1,6,0,0,0,0,1,1,1,0,0
otu10470,1,0,1,0,1,1,0,1,0,1,0,0,2,1,1,0,0,0
otu10471,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0
otu10473,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
otu10474,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
otu10476,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,1
otu10477,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,1,2
otu10479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2
otu1048,0,0,0,0,2,2,0,0,0,0,0,0,0,12,2,0,0,0
otu10480,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
otu10481,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0
otu10482,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
otu10483,0,0,0,1,1,1,0,0,0,1,1,12,0,0,0,0,0,0
otu10484,0,0,0,0,1,2,1,0,1,0,0,2,0,0,0,1,2,1
otu10485,0,0,2,0,1,2,0,1,0,0,0,4,0,0,0,1,3,0
otu10486,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu1049,25,3,8,0,2,0,16,3,16,36,2,25,1,0,1,0,3,1
otu10490,0,0,0,5,12,4,0,0,1,7,0,3,0,1,0,1,7,1
otu10493,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,3,2
otu10497,0,0,0,1,0,3,0,0,0,1,0,1,0,1,1,3,0,1
otu10499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
otu105,408,371,363,110,9,141,31,13,11,132,14,17,2745,265,1483,404,16,301
otu1050,0,0,0,8,12,14,3,1,0,3,0,4,0,0,1,0,2,0
otu10504,0,0,0,3,0,4,0,0,0,2,0,2,0,0,0,0,0,0
otu10505,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1
otu10506,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0
otu10507,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10509,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,2,0
otu1051,2,3,0,60,45,282,1,2,0,29,17,38,10,0,24,3,3,36
otu10511,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
otu10513,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
otu10514,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1
otu10516,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,2,0
otu10518,1,0,0,2,0,1,0,0,0,1,0,1,2,0,2,1,2,0
otu1052,0,0,0,3,5,0,0,0,0,0,0,0,2,2,0,2,2,0
otu10523,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
